file,R2,r,trait,cs,mode,cv,sp,type
asi_real_d2_cv2_sp10.ghatREL1,0.343384081673726,0.585989830691392,asi,real,d2,cv2,sp10.ghatREL1,real
asi_real_d2_cv2_sp1.ghatREL1,0.558098867894388,0.74706015011804,asi,real,d2,cv2,sp1.ghatREL1,real
asi_real_d2_cv2_sp2.ghatREL1,0.117698038784505,0.343071477661004,asi,real,d2,cv2,sp2.ghatREL1,real
asi_real_d2_cv2_sp3.ghatREL1,0.00953264054784304,0.09763524234539,asi,real,d2,cv2,sp3.ghatREL1,real
asi_real_d2_cv2_sp4.ghatREL1,0.0511087806615053,0.226072511954694,asi,real,d2,cv2,sp4.ghatREL1,real
asi_real_d2_cv2_sp5.ghatREL1,0.134692684428251,0.367005019622691,asi,real,d2,cv2,sp5.ghatREL1,real
asi_real_d2_cv2_sp6.ghatREL1,0.344043932113478,0.586552582564835,asi,real,d2,cv2,sp6.ghatREL1,real
asi_real_d2_cv2_sp7.ghatREL1,0.37035321705216,0.608566526398026,asi,real,d2,cv2,sp7.ghatREL1,real
asi_real_d2_cv2_sp8.ghatREL1,0.00406391606452834,0.0637488514761509,asi,real,d2,cv2,sp8.ghatREL1,real
asi_real_d2_cv2_sp9.ghatREL1,0.168755138284816,0.41079817220238,asi,real,d2,cv2,sp9.ghatREL1,real
asi_real_d2_cv3_sp10.ghatREL1,0.0276268588152932,-0.166213293136539,asi,real,d2,cv3,sp10.ghatREL1,real
asi_real_d2_cv3_sp1.ghatREL1,0.0025673695169222,0.0506692166598438,asi,real,d2,cv3,sp1.ghatREL1,real
asi_real_d2_cv3_sp2.ghatREL1,0.465659136226906,0.68239221583112,asi,real,d2,cv3,sp2.ghatREL1,real
asi_real_d2_cv3_sp3.ghatREL1,0.476306838385472,0.69014986661266,asi,real,d2,cv3,sp3.ghatREL1,real
asi_real_d2_cv3_sp4.ghatREL1,0.272674609837358,0.522182544554448,asi,real,d2,cv3,sp4.ghatREL1,real
asi_real_d2_cv3_sp5.ghatREL1,0.502265636029014,0.708707017059246,asi,real,d2,cv3,sp5.ghatREL1,real
asi_real_d2_cv3_sp6.ghatREL1,0.419478030178085,0.647671236182436,asi,real,d2,cv3,sp6.ghatREL1,real
