file,R2,r
DTP_snp29k3_s7.ghatREL1,0.950116513664866,0.974739202897301
DTP_snp29k3_s8.ghatREL1,0.941267077322482,0.970189196663456
DTP_snp29k3_s9.ghatREL1,0.89990671912537,0.948634133438899
DTP_snp29k4_s10.ghatREL1,0.914816611354417,0.956460459901201
DTP_snp29k4_s11.ghatREL1,0.966307622918483,0.983009472445959
DTP_snp29k4_s12.ghatREL1,0.913801468665726,0.955929635834001
DTP_snp29k4_s1.ghatREL1,0.974891864397006,0.987366124797183
DTP_snp29k4_s2.ghatREL1,0.897595493492254,0.947415164271849
DTP_snp29k4_s3.ghatREL1,0.827141246722175,0.90947305992106
DTP_snp29k4_s4.ghatREL1,0.976612151676106,0.988236890465088
DTP_snp29k4_s5.ghatREL1,0.959239792605611,0.979407878570318
DTP_snp29k4_s6.ghatREL1,0.935290738660469,0.967104305987968
DTP_snp29k4_s7.ghatREL1,0.950210245303175,0.974787282079108
DTP_snp29k4_s8.ghatREL1,0.941267439479341,0.970189383305827
DTP_snp29k4_s9.ghatREL1,0.89974430051481,0.948548523015459
DTP_snp29k5_s10.ghatREL1,0.91475831810071,0.956429985989936
DTP_snp29k5_s11.ghatREL1,0.966254254505128,0.982982326649431
DTP_snp29k5_s12.ghatREL1,0.913705503877107,0.955879440032637
DTP_snp29k5_s1.ghatREL1,0.974877141806717,0.9873586692822
DTP_snp29k5_s2.ghatREL1,0.897577468616603,0.947405651564631
DTP_snp29k5_s3.ghatREL1,0.827289111750244,0.909554347881557
DTP_snp29k5_s4.ghatREL1,0.976512332267955,0.988186385388888
DTP_snp29k5_s5.ghatREL1,0.95934164606521,0.979459874658074
DTP_snp29k5_s6.ghatREL1,0.93533479296101,0.96712708211538
DTP_snp29k5_s7.ghatREL1,0.950260117887539,0.974812863008865
DTP_snp29k5_s8.ghatREL1,0.941268006261516,0.970189675404514
DTP_snp29k5_s9.ghatREL1,0.899788617421038,0.948571883106935
DTP_snp29k6_s10.ghatREL1,0.914833026636103,0.956469041127889
DTP_snp29k6_s11.ghatREL1,0.96627748990202,0.98299414540577
DTP_snp29k6_s12.ghatREL1,0.913728600577936,0.955891521344308
DTP_snp29k6_s1.ghatREL1,0.974827755138487,0.987333659478136
DTP_snp29k6_s2.ghatREL1,0.897626687182195,0.947431626652918
DTP_snp29k6_s3.ghatREL1,0.827233136349762,0.909523576577189
DTP_snp29k6_s4.ghatREL1,0.976533693450103,0.98819719360566
DTP_snp29k6_s5.ghatREL1,0.959274284734322,0.979425487076134
DTP_snp29k6_s6.ghatREL1,0.935305399357424,0.967111885645825
DTP_snp29k6_s7.ghatREL1,0.950161622721992,0.974762341661798
DTP_snp29k6_s8.ghatREL1,0.94126849233414,0.970189925908396
DTP_snp29k6_s9.ghatREL1,0.899843453710532,0.948600787323377
