file,R2,r,trait,cs,mode,cv,sp,type
gy_real_d2_cv5_sp2.ghatREL1,0.473460463447756,0.688084633927947,gy,real,d2,cv5,sp2.ghatREL1,real
gy_real_d2_cv5_sp3.ghatREL1,0.208066118299331,0.456142651260909,gy,real,d2,cv5,sp3.ghatREL1,real
gy_real_d2_cv5_sp4.ghatREL1,0.368389118888177,0.606950672532931,gy,real,d2,cv5,sp4.ghatREL1,real
gy_real_d2_cv5_sp5.ghatREL1,0.550527094373449,0.741975130562642,gy,real,d2,cv5,sp5.ghatREL1,real
gy_real_d2_cv5_sp6.ghatREL1,1.59615125295937e-06,0.00126338879722727,gy,real,d2,cv5,sp6.ghatREL1,real
gy_real_d2_cv5_sp7.ghatREL1,0.631103736638324,0.794420377783906,gy,real,d2,cv5,sp7.ghatREL1,real
gy_real_d2_cv5_sp8.ghatREL1,0.178877827555901,0.422939508152053,gy,real,d2,cv5,sp8.ghatREL1,real
gy_real_d2_cv5_sp9.ghatREL1,0.443816934535356,0.66619586799631,gy,real,d2,cv5,sp9.ghatREL1,real
gy_real_h2_cv1_sp10.ghatREL1,0.71900790315183,0.847943337229458,gy,real,h2,cv1,sp10.ghatREL1,real
gy_real_h2_cv1_sp1.ghatREL1,0.301139060308142,0.54876138740635,gy,real,h2,cv1,sp1.ghatREL1,real
gy_real_h2_cv1_sp2.ghatREL1,0.321442200851529,0.566958729407643,gy,real,h2,cv1,sp2.ghatREL1,real
gy_real_h2_cv1_sp3.ghatREL1,0.176771229866523,0.420441708048241,gy,real,h2,cv1,sp3.ghatREL1,real
gy_real_h2_cv1_sp4.ghatREL1,0.679096944408958,0.824073385329825,gy,real,h2,cv1,sp4.ghatREL1,real
gy_real_h2_cv1_sp5.ghatREL1,0.70900496824462,0.842024327584791,gy,real,h2,cv1,sp5.ghatREL1,real
gy_real_h2_cv1_sp6.ghatREL1,0.721012716272579,0.84912467651846,gy,real,h2,cv1,sp6.ghatREL1,real
gy_real_h2_cv1_sp7.ghatREL1,0.630807854296462,0.79423413065447,gy,real,h2,cv1,sp7.ghatREL1,real
gy_real_h2_cv1_sp8.ghatREL1,0.277463731837247,0.526748262301117,gy,real,h2,cv1,sp8.ghatREL1,real
gy_real_h2_cv1_sp9.ghatREL1,0.314449289414109,0.560757781412,gy,real,h2,cv1,sp9.ghatREL1,real
gy_real_h2_cv2_sp10.ghatREL1,0.483251656341785,0.69516304299192,gy,real,h2,cv2,sp10.ghatREL1,real
gy_real_h2_cv2_sp1.ghatREL1,0.33519665458556,0.578961703902391,gy,real,h2,cv2,sp1.ghatREL1,real
gy_real_h2_cv2_sp2.ghatREL1,0.799224252525858,0.893993429800162,gy,real,h2,cv2,sp2.ghatREL1,real
gy_real_h2_cv2_sp3.ghatREL1,0.810471812185984,0.900262079722335,gy,real,h2,cv2,sp3.ghatREL1,real
gy_real_h2_cv2_sp4.ghatREL1,0.271294461193837,0.52085934876302,gy,real,h2,cv2,sp4.ghatREL1,real
gy_real_h2_cv2_sp5.ghatREL1,0.443839937194915,0.666213131959222,gy,real,h2,cv2,sp5.ghatREL1,real
gy_real_h2_cv2_sp6.ghatREL1,0.483974444833739,0.695682718510197,gy,real,h2,cv2,sp6.ghatREL1,real
gy_real_h2_cv2_sp7.ghatREL1,0.106485348890322,0.326320929286373,gy,real,h2,cv2,sp7.ghatREL1,real
gy_real_h2_cv2_sp8.ghatREL1,0.346966947594004,0.58903900345733,gy,real,h2,cv2,sp8.ghatREL1,real
gy_real_h2_cv2_sp9.ghatREL1,0.25842049817296,0.508350762931423,gy,real,h2,cv2,sp9.ghatREL1,real
gy_real_h2_cv3_sp10.ghatREL1,0.587305452792593,0.766358566724867,gy,real,h2,cv3,sp10.ghatREL1,real
gy_real_h2_cv3_sp1.ghatREL1,0.611131249805828,0.781748840616875,gy,real,h2,cv3,sp1.ghatREL1,real
gy_real_h2_cv3_sp2.ghatREL1,0.189454570480991,0.435263794130629,gy,real,h2,cv3,sp2.ghatREL1,real
gy_real_h2_cv3_sp3.ghatREL1,0.347173404465141,0.589214226292221,gy,real,h2,cv3,sp3.ghatREL1,real
gy_real_h2_cv3_sp4.ghatREL1,0.62942524245673,0.793363247482974,gy,real,h2,cv3,sp4.ghatREL1,real
gy_real_h2_cv3_sp5.ghatREL1,0.604180059155558,0.777290202662788,gy,real,h2,cv3,sp5.ghatREL1,real
gy_real_h2_cv3_sp6.ghatREL1,0.478224602365655,0.691537853169048,gy,real,h2,cv3,sp6.ghatREL1,real
gy_real_h2_cv3_sp7.ghatREL1,0.669535435669606,0.818251450148184,gy,real,h2,cv3,sp7.ghatREL1,real
gy_real_h2_cv3_sp8.ghatREL1,0.491388195104707,0.7009908666343,gy,real,h2,cv3,sp8.ghatREL1,real
gy_real_h2_cv3_sp9.ghatREL1,0.650703848582209,0.806662165086605,gy,real,h2,cv3,sp9.ghatREL1,real
gy_real_h2_cv4_sp10.ghatREL1,0.137644241868904,0.371004369069832,gy,real,h2,cv4,sp10.ghatREL1,real
gy_real_h2_cv4_sp1.ghatREL1,0.55636973533699,0.745901960941912,gy,real,h2,cv4,sp1.ghatREL1,real
gy_real_h2_cv4_sp2.ghatREL1,0.263141439153418,0.512973136873091,gy,real,h2,cv4,sp2.ghatREL1,real
gy_real_h2_cv4_sp3.ghatREL1,0.658274104528201,0.811340929898277,gy,real,h2,cv4,sp3.ghatREL1,real
gy_real_h2_cv4_sp4.ghatREL1,0.0589323175585419,0.242759793949785,gy,real,h2,cv4,sp4.ghatREL1,real
gy_real_h2_cv4_sp5.ghatREL1,0.278935949516126,0.528143871985775,gy,real,h2,cv4,sp5.ghatREL1,real
gy_real_h2_cv4_sp6.ghatREL1,0.346804310515285,0.588900934381399,gy,real,h2,cv4,sp6.ghatREL1,real
gy_real_h2_cv4_sp7.ghatREL1,0.366031057309413,0.605005006020126,gy,real,h2,cv4,sp7.ghatREL1,real
gy_real_h2_cv4_sp8.ghatREL1,0.832501184126433,0.91241502844179,gy,real,h2,cv4,sp8.ghatREL1,real
gy_real_h2_cv4_sp9.ghatREL1,0.518364070763795,0.719975048709186,gy,real,h2,cv4,sp9.ghatREL1,real
gy_real_h2_cv5_sp10.ghatREL1,0.511918762046859,0.715484983802496,gy,real,h2,cv5,sp10.ghatREL1,real
gy_real_h2_cv5_sp1.ghatREL1,0.507642975680153,0.712490684626931,gy,real,h2,cv5,sp1.ghatREL1,real
gy_real_h2_cv5_sp2.ghatREL1,0.557598758313183,0.746725356682885,gy,real,h2,cv5,sp2.ghatREL1,real
gy_real_h2_cv5_sp3.ghatREL1,0.666271080070073,0.81625429865335,gy,real,h2,cv5,sp3.ghatREL1,real
gy_real_h2_cv5_sp4.ghatREL1,0.702200193494584,0.837973862059303,gy,real,h2,cv5,sp4.ghatREL1,real
gy_real_h2_cv5_sp5.ghatREL1,0.636724661822565,0.797950287814075,gy,real,h2,cv5,sp5.ghatREL1,real
gy_real_h2_cv5_sp6.ghatREL1,0.249867368710768,0.499867351115042,gy,real,h2,cv5,sp6.ghatREL1,real
gy_real_h2_cv5_sp7.ghatREL1,0.513888046118981,0.716859851099907,gy,real,h2,cv5,sp7.ghatREL1,real
gy_real_h2_cv5_sp8.ghatREL1,0.392111913800143,0.626188401202181,gy,real,h2,cv5,sp8.ghatREL1,real
gy_real_h2_cv5_sp9.ghatREL1,0.481663643575529,0.694019915834934,gy,real,h2,cv5,sp9.ghatREL1,real
gy_cs10_a2_cv1_sp10.ghatREL1,0.628348409477097,0.792684306314372,gy,cs10,a2,cv1,sp10.ghatREL1,random
gy_cs10_a2_cv1_sp1.ghatREL1,0.229192768059273,0.4787408151174,gy,cs10,a2,cv1,sp1.ghatREL1,random
gy_cs10_a2_cv1_sp2.ghatREL1,0.179447569951087,0.42361252336432,gy,cs10,a2,cv1,sp2.ghatREL1,random
gy_cs10_a2_cv1_sp3.ghatREL1,0.149449005011765,0.386586348713668,gy,cs10,a2,cv1,sp3.ghatREL1,random
gy_cs10_a2_cv1_sp4.ghatREL1,0.510914260745088,0.714782666791164,gy,cs10,a2,cv1,sp4.ghatREL1,random
gy_cs10_a2_cv1_sp5.ghatREL1,0.868805400575559,0.932097312824986,gy,cs10,a2,cv1,sp5.ghatREL1,random
gy_cs10_a2_cv1_sp6.ghatREL1,0.644366758515397,0.802724584471783,gy,cs10,a2,cv1,sp6.ghatREL1,random
gy_cs10_a2_cv1_sp7.ghatREL1,0.532679447243524,0.729848920834664,gy,cs10,a2,cv1,sp7.ghatREL1,random
gy_cs10_a2_cv1_sp8.ghatREL1,0.334493023108121,0.578353717985906,gy,cs10,a2,cv1,sp8.ghatREL1,random
gy_cs10_a2_cv1_sp9.ghatREL1,0.280978021070705,0.53007359967339,gy,cs10,a2,cv1,sp9.ghatREL1,random
gy_cs10_a2_cv2_sp10.ghatREL1,0.265104854219075,0.514883340397682,gy,cs10,a2,cv2,sp10.ghatREL1,random
gy_cs10_a2_cv2_sp1.ghatREL1,0.210925658906585,0.459266435641214,gy,cs10,a2,cv2,sp1.ghatREL1,random
