file,R2,r,trait,mode,cv,sp
asi_1d2_cv5_sp7.ghatREL1,0.515446054823978,0.71794571857765,asi,1d2,cv5,sp7.ghatREL1
asi_1d2_cv5_sp8.ghatREL1,0.302062493303502,0.549602122724706,asi,1d2,cv5,sp8.ghatREL1
asi_1d2_cv5_sp9.ghatREL1,0.393516942155336,0.627309287477346,asi,1d2,cv5,sp9.ghatREL1
dtp_1a2_cv1_sp10.ghatREL1,0.405890413322464,0.637095293753191,dtp,1a2,cv1,sp10.ghatREL1
dtp_1a2_cv1_sp1.ghatREL1,0.368795127903752,0.607285046665692,dtp,1a2,cv1,sp1.ghatREL1
dtp_1a2_cv1_sp2.ghatREL1,0.0858567552537245,0.293013233922505,dtp,1a2,cv1,sp2.ghatREL1
dtp_1a2_cv1_sp3.ghatREL1,0.228387935799918,0.477899503870759,dtp,1a2,cv1,sp3.ghatREL1
dtp_1a2_cv1_sp4.ghatREL1,0.0256526336350214,-0.160164395653408,dtp,1a2,cv1,sp4.ghatREL1
dtp_1a2_cv1_sp5.ghatREL1,0.0412644832402481,0.203136612259455,dtp,1a2,cv1,sp5.ghatREL1
dtp_1a2_cv1_sp6.ghatREL1,0.235468120399748,0.485250574857721,dtp,1a2,cv1,sp6.ghatREL1
dtp_1a2_cv1_sp7.ghatREL1,0.206818212857466,0.454772704609089,dtp,1a2,cv1,sp7.ghatREL1
dtp_1a2_cv1_sp8.ghatREL1,0.0730911739748969,-0.270353794082674,dtp,1a2,cv1,sp8.ghatREL1
dtp_1a2_cv1_sp9.ghatREL1,0.0795955002159907,0.282126744949838,dtp,1a2,cv1,sp9.ghatREL1
dtp_1a2_cv2_sp10.ghatREL1,0.0168829488663697,-0.129934402166515,dtp,1a2,cv2,sp10.ghatREL1
dtp_1a2_cv2_sp1.ghatREL1,0.00513404531210468,0.0716522526659468,dtp,1a2,cv2,sp1.ghatREL1
dtp_1a2_cv2_sp2.ghatREL1,0.18742256115376,0.432923273980228,dtp,1a2,cv2,sp2.ghatREL1
dtp_1a2_cv2_sp3.ghatREL1,0.0967832744831378,0.311100103637298,dtp,1a2,cv2,sp3.ghatREL1
dtp_1a2_cv2_sp4.ghatREL1,0.180165304597012,0.424458837341163,dtp,1a2,cv2,sp4.ghatREL1
dtp_1a2_cv2_sp5.ghatREL1,0.368757666476302,0.607254202518436,dtp,1a2,cv2,sp5.ghatREL1
dtp_1a2_cv2_sp6.ghatREL1,0.120573039641415,0.347236287909853,dtp,1a2,cv2,sp6.ghatREL1
dtp_1a2_cv2_sp7.ghatREL1,0.151889518116916,0.389730058010562,dtp,1a2,cv2,sp7.ghatREL1
dtp_1a2_cv2_sp8.ghatREL1,0.315651826502012,0.561829001122239,dtp,1a2,cv2,sp8.ghatREL1
dtp_1a2_cv2_sp9.ghatREL1,0.0934736807954089,0.305734657497983,dtp,1a2,cv2,sp9.ghatREL1
dtp_1a2_cv3_sp10.ghatREL1,0.238929387676637,0.488804038114086,dtp,1a2,cv3,sp10.ghatREL1
