file,R2,r,trait,mode,cv,sp
asi_4a2_cv2_sp9.ghatREL1,0.239247813183659,0.48912964864508,asi,4a2,cv2,sp9.ghatREL1
asi_4a2_cv3_sp10.ghatREL1,0.0821407425517869,0.286602063062684,asi,4a2,cv3,sp10.ghatREL1
asi_4a2_cv3_sp1.ghatREL1,0.190824336269287,0.436834449499221,asi,4a2,cv3,sp1.ghatREL1
asi_4a2_cv3_sp2.ghatREL1,0.439175670615945,0.662703305119225,asi,4a2,cv3,sp2.ghatREL1
asi_4a2_cv3_sp3.ghatREL1,0.633048261616505,0.795643300491184,asi,4a2,cv3,sp3.ghatREL1
asi_4a2_cv3_sp4.ghatREL1,0.234952149424108,0.484718629128392,asi,4a2,cv3,sp4.ghatREL1
asi_4a2_cv3_sp5.ghatREL1,0.394871369715194,0.628387913406356,asi,4a2,cv3,sp5.ghatREL1
asi_4a2_cv3_sp6.ghatREL1,0.444127830375273,0.666429163809083,asi,4a2,cv3,sp6.ghatREL1
asi_4a2_cv3_sp7.ghatREL1,0.718911478480246,0.847886477354277,asi,4a2,cv3,sp7.ghatREL1
asi_4a2_cv3_sp8.ghatREL1,0.269907435931762,0.519526164819215,asi,4a2,cv3,sp8.ghatREL1
asi_4a2_cv3_sp9.ghatREL1,0.323187268540918,0.568495618752615,asi,4a2,cv3,sp9.ghatREL1
asi_4a2_cv4_sp10.ghatREL1,0.199941255526331,0.447147912358238,asi,4a2,cv4,sp10.ghatREL1
asi_4a2_cv4_sp1.ghatREL1,0.377494364812479,0.614405700504543,asi,4a2,cv4,sp1.ghatREL1
asi_4a2_cv4_sp2.ghatREL1,0.0633829158896209,0.251759639119579,asi,4a2,cv4,sp2.ghatREL1
asi_4a2_cv4_sp3.ghatREL1,0.360936606023737,0.600779998022352,asi,4a2,cv4,sp3.ghatREL1
asi_4a2_cv4_sp4.ghatREL1,0.180140540572345,0.424429665047515,asi,4a2,cv4,sp4.ghatREL1
asi_4a2_cv4_sp5.ghatREL1,0.545474144492537,0.738562214368253,asi,4a2,cv4,sp5.ghatREL1
asi_4a2_cv4_sp6.ghatREL1,0.472786713844704,0.687594876249601,asi,4a2,cv4,sp6.ghatREL1
asi_4a2_cv4_sp7.ghatREL1,0.581601451689328,0.762627990365767,asi,4a2,cv4,sp7.ghatREL1
asi_4a2_cv4_sp8.ghatREL1,0.0869232647414594,0.294827516933985,asi,4a2,cv4,sp8.ghatREL1
asi_4a2_cv4_sp9.ghatREL1,0.337402802351471,0.580863841490819,asi,4a2,cv4,sp9.ghatREL1
asi_4a2_cv5_sp10.ghatREL1,0.0263866580468541,0.162439705881457,asi,4a2,cv5,sp10.ghatREL1
asi_4a2_cv5_sp1.ghatREL1,0.213257180405491,0.461797770030877,asi,4a2,cv5,sp1.ghatREL1
asi_4a2_cv5_sp2.ghatREL1,0.758328436650195,0.870820553644777,asi,4a2,cv5,sp2.ghatREL1
asi_4a2_cv5_sp3.ghatREL1,0.279886292554384,0.529042807865662,asi,4a2,cv5,sp3.ghatREL1
asi_4a2_cv5_sp4.ghatREL1,0.278046381307185,0.527301034805722,asi,4a2,cv5,sp4.ghatREL1
asi_4a2_cv5_sp5.ghatREL1,0.36957822422817,0.607929456621548,asi,4a2,cv5,sp5.ghatREL1
asi_4a2_cv5_sp6.ghatREL1,0.164338674854846,0.405387067942289,asi,4a2,cv5,sp6.ghatREL1
