id,DN,nonmiss,chr,DR
BKN009,206982,1065751,1,0.1942
BKN010,205389,1064983,1,0.1929
BKN011,200020,1065341,1,0.1878
BKN014,208882,1060658,1,0.1969
BKN015,206771,1058056,1,0.1954
BKN016,207591,1063045,1,0.1953
BKN017,200550,1029432,1,0.1948
BKN018,203743,1070464,1,0.1903
BKN019,205950,1071490,1,0.1922
BKN020,204031,1068539,1,0.1909
BKN022,205380,1061830,1,0.1934
BKN023,199883,1042545,1,0.1917
BKN025,204570,1056617,1,0.1936
BKN026,199827,1061065,1,0.1883
