file,R2,r,trait,cs,mode,sp,cv
asi_cs10_d2_sp1_cv3.ghatREL1,0.0144904687554239,0.120376362943162,asi,cs10,d2,sp1,cv3.ghatREL1
asi_cs10_d2_sp1_cv4.ghatREL1,0.0857337036418604,0.292803182431237,asi,cs10,d2,sp1,cv4.ghatREL1
asi_cs10_d2_sp1_cv5.ghatREL1,0.09264670575087,0.304379213729962,asi,cs10,d2,sp1,cv5.ghatREL1
asi_cs10_d2_sp2_cv1.ghatREL1,0.00809061287293759,0.0899478341759133,asi,cs10,d2,sp2,cv1.ghatREL1
asi_cs10_d2_sp2_cv2.ghatREL1,0.0120130271868032,0.109603956072777,asi,cs10,d2,sp2,cv2.ghatREL1
asi_cs10_d2_sp2_cv3.ghatREL1,0.151081754608152,0.388692364998532,asi,cs10,d2,sp2,cv3.ghatREL1
asi_cs10_d2_sp2_cv4.ghatREL1,0.0989571245503564,-0.314574513510482,asi,cs10,d2,sp2,cv4.ghatREL1
asi_cs10_d2_sp2_cv5.ghatREL1,0.0981853517743479,0.313345419264983,asi,cs10,d2,sp2,cv5.ghatREL1
asi_cs10_d2_sp3_cv1.ghatREL1,0.00628791911730208,0.0792964004057062,asi,cs10,d2,sp3,cv1.ghatREL1
asi_cs10_d2_sp3_cv2.ghatREL1,0.0310467985306725,-0.176201017393977,asi,cs10,d2,sp3,cv2.ghatREL1
asi_cs10_d2_sp3_cv3.ghatREL1,0.0653973796375681,0.255729113785599,asi,cs10,d2,sp3,cv3.ghatREL1
asi_cs10_d2_sp3_cv4.ghatREL1,0.0247887030651723,0.15744428559072,asi,cs10,d2,sp3,cv4.ghatREL1
asi_cs10_d2_sp3_cv5.ghatREL1,0.0124689351438638,0.111664386193019,asi,cs10,d2,sp3,cv5.ghatREL1
asi_cs10_d2_sp4_cv1.ghatREL1,0.232490721868485,0.482172916979464,asi,cs10,d2,sp4,cv1.ghatREL1
asi_cs10_d2_sp4_cv2.ghatREL1,0.279272500730137,-0.528462392919436,asi,cs10,d2,sp4,cv2.ghatREL1
asi_cs10_d2_sp4_cv3.ghatREL1,0.0283873810567863,0.168485551477824,asi,cs10,d2,sp4,cv3.ghatREL1
asi_cs10_d2_sp4_cv4.ghatREL1,0.308932246286653,0.555816738041104,asi,cs10,d2,sp4,cv4.ghatREL1
asi_cs10_d2_sp4_cv5.ghatREL1,0.000176460467459102,-0.0132838423454625,asi,cs10,d2,sp4,cv5.ghatREL1
asi_cs10_d2_sp5_cv1.ghatREL1,0.0288166956839004,0.169754810488246,asi,cs10,d2,sp5,cv1.ghatREL1
asi_cs10_d2_sp5_cv2.ghatREL1,0.168372434188719,0.410332102313137,asi,cs10,d2,sp5,cv2.ghatREL1
asi_cs10_d2_sp5_cv3.ghatREL1,0.172037208548869,0.414773683529788,asi,cs10,d2,sp5,cv3.ghatREL1
asi_cs10_d2_sp5_cv4.ghatREL1,0.113024205786986,0.336190728288252,asi,cs10,d2,sp5,cv4.ghatREL1
asi_cs10_d2_sp5_cv5.ghatREL1,0.177286035779164,0.421053483276369,asi,cs10,d2,sp5,cv5.ghatREL1
asi_cs10_d2_sp6_cv1.ghatREL1,0.0059142864808663,0.0769043983193829,asi,cs10,d2,sp6,cv1.ghatREL1
asi_cs10_d2_sp6_cv2.ghatREL1,0.198211902132871,0.445209952868162,asi,cs10,d2,sp6,cv2.ghatREL1
asi_cs10_d2_sp6_cv3.ghatREL1,0.26086545946069,0.510749899129398,asi,cs10,d2,sp6,cv3.ghatREL1
asi_cs10_d2_sp6_cv4.ghatREL1,0.00308111687787437,0.0555078091611836,asi,cs10,d2,sp6,cv4.ghatREL1
asi_cs10_d2_sp6_cv5.ghatREL1,0.00688484279093864,0.0829749527926268,asi,cs10,d2,sp6,cv5.ghatREL1
asi_cs10_d2_sp7_cv1.ghatREL1,0.00427135657795241,-0.065355616269395,asi,cs10,d2,sp7,cv1.ghatREL1
asi_cs10_d2_sp7_cv2.ghatREL1,0.000499159767473045,-0.022341883704671,asi,cs10,d2,sp7,cv2.ghatREL1
asi_cs10_d2_sp7_cv3.ghatREL1,0.139298631204605,0.373227318406095,asi,cs10,d2,sp7,cv3.ghatREL1
asi_cs10_d2_sp7_cv4.ghatREL1,0.0506491411406221,0.225053640585133,asi,cs10,d2,sp7,cv4.ghatREL1
asi_cs10_d2_sp7_cv5.ghatREL1,0.111654096766432,0.334146819177487,asi,cs10,d2,sp7,cv5.ghatREL1
asi_cs10_d2_sp8_cv1.ghatREL1,0.15992013280703,0.399900153547145,asi,cs10,d2,sp8,cv1.ghatREL1
asi_cs10_d2_sp8_cv2.ghatREL1,0.0550166035471456,0.234556184201452,asi,cs10,d2,sp8,cv2.ghatREL1
asi_cs10_d2_sp8_cv3.ghatREL1,0.0760692428661407,0.275806531587163,asi,cs10,d2,sp8,cv3.ghatREL1
asi_cs10_d2_sp8_cv4.ghatREL1,0.129017653993933,-0.359190275472393,asi,cs10,d2,sp8,cv4.ghatREL1
asi_cs10_d2_sp8_cv5.ghatREL1,0.0157884071973024,0.125651928744856,asi,cs10,d2,sp8,cv5.ghatREL1
asi_cs10_d2_sp9_cv1.ghatREL1,0.0080885115391011,-0.0899361525700377,asi,cs10,d2,sp9,cv1.ghatREL1
asi_cs10_d2_sp9_cv2.ghatREL1,0.0191363482462486,0.138334190445633,asi,cs10,d2,sp9,cv2.ghatREL1
asi_cs10_d2_sp9_cv3.ghatREL1,0.0614194380313628,0.24782945351867,asi,cs10,d2,sp9,cv3.ghatREL1
asi_cs10_d2_sp9_cv4.ghatREL1,0.00205567967204418,-0.0453396037923158,asi,cs10,d2,sp9,cv4.ghatREL1
asi_cs10_d2_sp9_cv5.ghatREL1,0.300250665626536,0.547951335089655,asi,cs10,d2,sp9,cv5.ghatREL1
