trait,P1,P2,SCA.all
EHT,LH1,LH123HT,-3.4534
EHT,LH1,LH82,-26.2158
EHT,LH1,MO17,-0.1773
EHT,LH1,PH207,-25.6725
EHT,LH1,PHG35,-15.6767
EHT,LH1,PHG39,-10.1573
EHT,LH1,PHG47,-19.6
EHT,LH1,PHG84,-14.1413
EHT,LH1,PHJ40,-18.3078
EHT,LH1,PHZ51,6.9185
EHT,LH123HT,LH82,-6.5394
EHT,LH123HT,MO17,15.2051
EHT,LH123HT,PH207,0.1717
EHT,LH123HT,PHG35,12.7668
EHT,LH123HT,PHG39,20.0214
EHT,LH123HT,PHG47,5.7421
EHT,LH123HT,PHG84,7.8446
EHT,LH123HT,PHJ40,-1.0246
EHT,LH123HT,PHZ51,21.8166
EHT,LH82,MO17,-5.1837
EHT,LH82,PH207,-19.7062
EHT,LH82,PHG35,-17.2932
EHT,LH82,PHG39,-10.4409
EHT,LH82,PHG47,-19.7313
EHT,LH82,PHG84,-7.1261
EHT,LH82,PHJ40,-15.0547
EHT,LH82,PHZ51,1.9326
EHT,MO17,PH207,5.7352
EHT,MO17,PHG35,8.7854
EHT,MO17,PHG39,10.1505
EHT,MO17,PHG47,-3.6007
EHT,MO17,PHG84,9.5063
EHT,MO17,PHJ40,4.3494
EHT,MO17,PHZ51,10.2872
EHT,PH207,PHG35,-8.6005
EHT,PH207,PHG39,-4.5167
EHT,PH207,PHG47,-11.3861
EHT,PH207,PHG84,-5.21
EHT,PH207,PHJ40,-2.4792
EHT,PH207,PHZ51,4.0486
EHT,PHG35,PHG39,5.3147
EHT,PHG35,PHG47,-5.5085
EHT,PHG35,PHG84,-2.7822
EHT,PHG35,PHJ40,-2.5594
EHT,PHG35,PHZ51,3.8891
EHT,PHG39,PHG47,0.4404
EHT,PHG39,PHG84,9.1929
EHT,PHG39,PHJ40,4.9072
EHT,PHG39,PHZ51,22.6245
EHT,PHG47,PHG84,-3.0953
EHT,PHG47,PHJ40,-8.6829
EHT,PHG47,PHZ51,4.9697
EHT,PHG84,PHJ40,-8.4914
EHT,PHG84,PHZ51,8.6784
EHT,PHJ40,PHZ51,2.8291
PHT,B73,LH1,-13.4259
PHT,B73,LH123HT,44.3916
PHT,B73,LH82,-12.3852
PHT,B73,MO17,20.0365
PHT,B73,PH207,-7.1504
PHT,B73,PHG35,7.2103
PHT,B73,PHG39,16.3197
PHT,B73,PHG47,4.1406
PHT,B73,PHG84,25.4451
PHT,B73,PHJ40,-9.9848
PHT,B73,PHZ51,34.3611
PHT,LH1,LH123HT,11.4991
PHT,LH1,LH82,-47.7584
PHT,LH1,MO17,-2.0349
PHT,LH1,PH207,-41.7362
PHT,LH1,PHG35,-19.7505
PHT,LH1,PHG39,-12.8322
PHT,LH1,PHG47,-25.9473
PHT,LH1,PHG84,-5.5398
PHT,LH1,PHJ40,-17.7129
PHT,LH1,PHZ51,18.942
PHT,LH123HT,LH82,-9.2456
PHT,LH123HT,MO17,20.2887
PHT,LH123HT,PH207,6.8642
PHT,LH123HT,PHG35,24.4783
PHT,LH123HT,PHG39,41.4595
PHT,LH123HT,PHG47,14.5267
PHT,LH123HT,PHG84,20.9786
PHT,LH123HT,PHJ40,-10.4961
PHT,LH123HT,PHZ51,28.4885
PHT,LH82,MO17,-25.1447
PHT,LH82,PH207,-38.6816
PHT,LH82,PHG35,-30.0345
PHT,LH82,PHG39,-14.3113
PHT,LH82,PHG47,-33.8031
PHT,LH82,PHG84,-16.621
PHT,LH82,PHJ40,-37.9172
PHT,LH82,PHZ51,-6.3511
PHT,MO17,PH207,0.7109
PHT,MO17,PHG35,4.0262
PHT,MO17,PHG39,20.362
PHT,MO17,PHG47,-4.5082
PHT,MO17,PHG84,13.257
PHT,MO17,PHJ40,-19.2858
PHT,MO17,PHZ51,18.2731
PHT,PH207,PHG35,-13.1414
PHT,PH207,PHG39,-1.2168
PHT,PH207,PHG47,-15.5022
PHT,PH207,PHG84,6.9191
PHT,PH207,PHJ40,-18.3257
PHT,PH207,PHZ51,13.6797
PHT,PHG35,PHG39,8.1531
PHT,PHG35,PHG47,-6.4333
PHT,PHG35,PHG84,1.8964
PHT,PHG35,PHJ40,-19.3775
PHT,PHG35,PHZ51,14.9548
PHT,PHG39,PHG47,6.5892
PHT,PHG39,PHG84,24.0546
PHT,PHG39,PHJ40,0.9046
PHT,PHG39,PHZ51,40.3668
PHT,PHG47,PHG84,4.4271
PHT,PHG47,PHJ40,-17.9958
PHT,PHG47,PHZ51,20.7895
PHT,PHG84,PHJ40,-9.0693
PHT,PHG84,PHZ51,22.8152
PHT,PHJ40,PHZ51,2.1112
TW,B73,LH1,1.6136
TW,B73,LH123HT,0.4379
TW,B73,LH82,-0.7246
TW,B73,MO17,-1.8161
TW,B73,PH207,-0.4364
TW,B73,PHG35,0.0657
TW,B73,PHG39,2.1567
TW,B73,PHG47,-2.4485
TW,B73,PHG84,1.3042
TW,B73,PHJ40,0.1713
TW,B73,PHZ51,-0.4192
TW,LH1,LH123HT,0.5149
TW,LH1,LH82,0.6812
TW,LH1,MO17,0.5766
TW,LH1,PH207,0.2403
TW,LH1,PHG35,-0.043
TW,LH1,PHG39,1.2594
TW,LH1,PHG47,-0.9622
TW,LH1,PHG84,1.1895
TW,LH1,PHJ40,0.5089
TW,LH1,PHZ51,0.5394
TW,LH123HT,LH82,0.1339
TW,LH123HT,MO17,-0.3383
TW,LH123HT,PH207,-1.4803
TW,LH123HT,PHG35,-1.6262
TW,LH123HT,PHG39,1.6668
TW,LH123HT,PHG47,-0.0607
TW,LH123HT,PHG84,-0.0237
TW,LH123HT,PHJ40,1.9379
TW,LH123HT,PHZ51,-0.2387
TW,LH82,MO17,-0.5071
TW,LH82,PH207,-1.2165
TW,LH82,PHG35,-0.4813
TW,LH82,PHG39,1.8043
TW,LH82,PHG47,-0.7513
TW,LH82,PHG84,0.1445
TW,LH82,PHJ40,0.6115
TW,LH82,PHZ51,-0.2932
TW,MO17,PH207,-1.3012
TW,MO17,PHG35,-1.244
TW,MO17,PHG39,1.1164
TW,MO17,PHG47,-2.0295
TW,MO17,PHG84,0.2807
TW,MO17,PHJ40,-0.4259
TW,MO17,PHZ51,-0.6933
TW,PH207,PHG35,-1.8345
TW,PH207,PHG39,0.9184
TW,PH207,PHG47,-2.3021
TW,PH207,PHG84,0.8063
TW,PH207,PHJ40,-0.3439
TW,PH207,PHZ51,-0.4006
TW,PHG35,PHG39,0.5462
TW,PHG35,PHG47,-1.6422
TW,PHG35,PHG84,0.808
TW,PHG35,PHJ40,0.9108
TW,PHG35,PHZ51,-1.3132
TW,PHG39,PHG47,0.824
TW,PHG39,PHG84,1.2824
TW,PHG39,PHJ40,1.6177
TW,PHG39,PHZ51,0.3519
TW,PHG47,PHG84,-1.9786
TW,PHG47,PHJ40,-0.506
TW,PHG47,PHZ51,-0.9664
TW,PHG84,PHJ40,2.1661
TW,PHG84,PHZ51,0.3426
TW,PHJ40,PHZ51,1.3187
