Hyb,P1,P2,valHyb,valP1,valP2,BPHmax,pBPHmax,BPHmin,pBPHmin,MPH,pMPH,trait,pBPH
hyb6,B73,PHG35,-1.004443,-2.043093,-1.199539,0.195,-0.1626,1.039,-0.0954,0.617,-0.6408,ASI,9.54
hyb7,B73,PHG39,-0.833383,-2.043093,-2.998511,1.21,-0.5922,2.165,-0.4035,1.687,-0.8589,ASI,40.35
hyb8,B73,PHG47,-0.484465,-2.043093,-1.683702,1.199,-0.7121,1.559,-0.5869,1.379,-0.8366,ASI,58.69
hyb9,B73,PHG84,-1.134346,-2.043093,-3.518615,0.909,-0.4449,2.384,-0.2583,1.647,-0.8573,ASI,25.83
hyb10,B73,PHJ40,-1.39793,-2.043093,-1.554066,0.156,-0.1004,0.645,-0.0764,0.401,-0.3586,ASI,7.64
hyb11,B73,PHZ51,-1.237397,-2.043093,-2.438996,0.806,-0.3945,1.202,-0.3305,1.004,-0.5364,ASI,33.05
hyb12,LH1,LH123HT,-1.217077,-4.678851,-0.896816,-0.32,0.3568,3.462,0.0684,1.571,-1.2418,ASI,-6.84
hyb13,LH1,LH82,-0.910298,-4.678851,-0.682811,-0.227,0.3324,3.769,0.0485,1.771,-1.4059,ASI,-4.85
hyb14,LH1,MO17,-2.552716,-4.678851,-4.220733,1.668,-0.3952,2.126,-0.3565,1.897,-0.4778,ASI,35.65
hyb15,LH1,PH207,-2.522965,-4.678851,-2.815722,0.293,-0.1041,2.156,-0.0626,1.224,-0.5753,ASI,6.26
hyb16,LH1,PHG35,-1.061297,-4.678851,-1.199539,0.138,-0.115,3.618,-0.0295,1.878,-1.2309,ASI,2.95
hyb17,LH1,PHG39,-0.91979,-4.678851,-2.998511,2.079,-0.6933,3.759,-0.4443,2.919,-0.9792,ASI,44.43
hyb18,LH1,PHG47,-1.375153,-4.678851,-1.683702,0.309,-0.1835,3.304,-0.066,1.806,-1.0386,ASI,6.6
hyb19,LH1,PHG84,-1.757577,-4.678851,-3.518615,1.761,-0.5005,2.921,-0.3764,2.341,-0.7127,ASI,37.64
hyb20,LH1,PHJ40,-1.027628,-4.678851,-1.554066,0.526,-0.3385,3.651,-0.1124,2.089,-1.1715,ASI,11.24
hyb21,LH1,PHZ51,-0.378632,-4.678851,-2.438996,2.06,-0.8446,4.3,-0.4403,3.18,-1.2082,ASI,44.03
hyb22,LH123HT,LH82,-0.227196,-0.896816,-0.682811,0.456,-0.6678,0.67,-0.5085,0.563,-0.8483,ASI,50.85
hyb23,LH123HT,MO17,-1.019888,-0.896816,-4.220733,-0.123,0.1372,3.201,0.0291,1.539,-1.251,ASI,-2.91
hyb24,LH123HT,PH207,-1.450793,-0.896816,-2.815722,-0.554,0.6177,1.365,0.1968,0.405,-0.7353,ASI,-19.68
hyb25,LH123HT,PHG35,0.131978,-0.896816,-1.199539,1.029,-1.1474,1.332,-0.8578,1.18,-1.2708,ASI,85.78
hyb26,LH123HT,PHG39,-0.591542,-0.896816,-2.998511,0.305,-0.3401,2.407,-0.1017,1.356,-1.2358,ASI,10.17
