Hyb,P1,P2,valHyb,valP1,valP2,BPHmax,pBPHmax,BPHmin,pBPHmin,MPH,pMPH,trait,pBPH
hyb18,LH1,PHG47,56.19123,59.60612,56.18412,-3.415,-0.0573,0.007,-0.0608,-1.704,1e-04,TW,5.73
hyb19,LH1,PHG84,58.31271,59.60612,56.95253,-1.293,-0.0217,1.36,-0.0227,0.033,0.0233,TW,2.17
hyb20,LH1,PHJ40,57.62699,59.60612,57.24215,-1.979,-0.0332,0.385,-0.0346,-0.797,0.0066,TW,3.32
hyb21,LH1,PHZ51,57.64368,59.60612,56.64187,-1.962,-0.0329,1.002,-0.0346,-0.48,0.0172,TW,3.29
hyb22,LH123HT,LH82,57.25514,57.46858,58.26956,-1.014,-0.0174,-0.213,-0.0176,-0.614,-0.0037,TW,1.74
hyb23,LH123HT,MO17,56.7895,57.46858,55.56046,-0.679,-0.0118,1.229,-0.0122,0.275,0.0217,TW,1.18
hyb24,LH123HT,PH207,55.64261,57.46858,52.38557,-1.826,-0.0318,3.257,-0.0349,0.716,0.0593,TW,3.18
hyb25,LH123HT,PHG35,55.50092,57.46858,56.9607,-1.968,-0.0342,-1.46,-0.0346,-1.714,-0.0255,TW,3.42
hyb26,LH123HT,PHG39,58.72943,57.46858,56.96409,1.261,0.0219,1.765,0.0221,1.513,0.0308,TW,2.19
hyb27,LH123HT,PHG47,56.99002,57.46858,56.18412,-0.479,-0.0083,0.806,-0.0085,0.164,0.0142,TW,0.83
hyb28,LH123HT,PHG84,57.10736,57.46858,56.95253,-0.361,-0.0063,0.155,-0.0063,-0.103,0.0027,TW,0.63
hyb29,LH123HT,PHJ40,59.03351,57.46858,57.24215,1.565,0.0272,1.791,0.0273,1.678,0.0312,TW,2.72
hyb30,LH123HT,PHZ51,56.83011,57.46858,56.64187,-0.638,-0.0111,0.188,-0.0113,-0.225,0.0033,TW,1.11
hyb31,LH82,MO17,56.64521,58.26956,55.56046,-1.624,-0.0279,1.085,-0.0292,-0.27,0.0191,TW,2.79
hyb32,LH82,PH207,55.86855,58.26956,52.38557,-2.401,-0.0412,3.483,-0.0458,0.541,0.063,TW,4.12
hyb33,LH82,PHG35,56.67454,58.26956,56.9607,-1.595,-0.0274,-0.286,-0.028,-0.941,-0.005,TW,2.74
hyb34,LH82,PHG39,58.9123,58.26956,56.96409,0.643,0.011,1.948,0.0113,1.295,0.0338,TW,1.1
hyb35,LH82,PHG47,56.30096,58.26956,56.18412,-1.969,-0.0338,0.117,-0.035,-0.926,0.002,TW,3.38
hyb36,LH82,PHG84,57.27548,58.26956,56.95253,-0.994,-0.0171,0.323,-0.0175,-0.336,0.0056,TW,1.71
hyb37,LH82,PHJ40,57.70984,58.26956,57.24215,-0.56,-0.0096,0.468,-0.0098,-0.046,0.0081,TW,0.96
hyb38,LH82,PHZ51,56.79666,58.26956,56.64187,-1.473,-0.0253,0.155,-0.026,-0.659,0.0027,TW,2.53
hyb39,MO17,PH207,55.81283,55.56046,52.38557,0.252,0.0045,3.427,0.0048,1.84,0.0635,TW,0.45
hyb40,MO17,PHG35,55.8846,55.56046,56.9607,-1.076,-0.0189,0.324,-0.0194,-0.376,0.0058,TW,1.89
hyb41,MO17,PHG39,58.29213,55.56046,56.96409,1.328,0.0233,2.732,0.0239,2.03,0.0486,TW,2.33
hyb42,MO17,PHG47,55.04405,55.56046,56.18412,-1.14,-0.0203,-0.516,-0.0205,-0.828,-0.0092,TW,2.03
hyb43,MO17,PHG84,57.37046,55.56046,56.95253,0.418,0.0073,1.81,0.0075,1.114,0.0322,TW,0.73
hyb44,MO17,PHJ40,56.70123,55.56046,57.24215,-0.541,-0.0095,1.141,-0.0097,0.3,0.0202,TW,0.95
hyb45,MO17,PHZ51,56.45549,55.56046,56.64187,-0.186,-0.0033,0.895,-0.0033,0.354,0.016,TW,0.33
hyb46,PH207,PHG35,55.27213,52.38557,56.9607,-1.689,-0.0297,2.887,-0.0322,0.599,0.0528,TW,2.97
hyb47,PH207,PHG39,57.99791,52.38557,56.96409,1.034,0.0182,5.612,0.0197,3.323,0.1026,TW,1.82
hyb48,PH207,PHG47,54.80014,52.38557,56.18412,-1.384,-0.0246,2.415,-0.0264,0.515,0.0445,TW,2.46
hyb49,PH207,PHG84,57.90172,52.38557,56.95253,0.949,0.0167,5.516,0.0181,3.233,0.1009,TW,1.67
hyb50,PH207,PHJ40,56.73643,52.38557,57.24215,-0.506,-0.0088,4.351,-0.0097,1.923,0.0794,TW,0.88
hyb51,PH207,PHZ51,56.6163,52.38557,56.64187,-0.026,-5e-04,4.231,-5e-04,2.103,0.0776,TW,0.05
hyb52,PHG35,PHG39,57.65632,56.9607,56.96409,0.692,0.0121,0.696,0.0121,0.694,0.0122,TW,1.21
hyb53,PHG35,PHG47,55.42699,56.9607,56.18412,-1.534,-0.0269,-0.757,-0.0273,-1.145,-0.0134,TW,2.69
hyb54,PHG35,PHG84,57.91027,56.9607,56.95253,0.95,0.0167,0.958,0.0167,0.954,0.0168,TW,1.67
hyb55,PHG35,PHJ40,58.02794,56.9607,57.24215,0.786,0.0137,1.067,0.0138,0.927,0.0187,TW,1.37
hyb56,PHG35,PHZ51,55.77294,56.9607,56.64187,-1.188,-0.0209,-0.869,-0.021,-1.028,-0.0153,TW,2.09
hyb57,PHG39,PHG47,57.90869,56.96409,56.18412,0.945,0.0166,1.725,0.0168,1.335,0.0305,TW,1.66
hyb58,PHG39,PHG84,58.46946,56.96409,56.95253,1.505,0.0264,1.517,0.0264,1.511,0.0266,TW,2.64
hyb59,PHG39,PHJ40,58.74405,56.96409,57.24215,1.502,0.0262,1.78,0.0264,1.641,0.0312,TW,2.62
hyb60,PHG39,PHZ51,57.39891,56.96409,56.64187,0.435,0.0076,0.757,0.0077,0.596,0.0133,TW,0.76
hyb61,PHG47,PHG84,55.08659,56.18412,56.95253,-1.866,-0.0328,-1.098,-0.0332,-1.482,-0.0194,TW,3.28
hyb62,PHG47,PHJ40,56.61568,56.18412,57.24215,-0.626,-0.0109,0.432,-0.0111,-0.097,0.0076,TW,1.09
hyb63,PHG47,PHZ51,56.118,56.18412,56.64187,-0.524,-0.0093,-0.066,-0.0093,-0.295,-0.0012,TW,0.93
hyb64,PHG84,PHJ40,59.30382,56.95253,57.24215,2.062,0.036,2.351,0.0362,2.206,0.0412,TW,3.6
hyb65,PHG84,PHZ51,57.38147,56.95253,56.64187,0.429,0.0075,0.74,0.0076,0.584,0.013,TW,0.75
hyb66,PHJ40,PHZ51,58.4592,57.24215,56.64187,1.217,0.0213,1.817,0.0215,1.517,0.0319,TW,2.13
